,Date,Train Predict,Test Predict
495,2018-09-24,7469.02880859375,
496,2018-09-25,7479.1904296875,
497,2018-09-26,7399.10400390625,
498,2018-09-27,7282.42724609375,
499,2018-09-28,7310.91259765625,
500,2018-09-29,7445.72314453125,
501,2018-09-30,7417.09619140625,
502,2018-10-01,7399.3916015625,
503,2018-10-02,7409.00830078125,
504,2018-10-03,7387.01806640625,
505,2018-10-04,7356.8935546875,
506,2018-10-05,7309.99609375,
507,2018-10-06,7368.8544921875,
508,2018-10-07,7401.5009765625,
509,2018-10-08,7381.08203125,
510,2018-10-09,7391.908203125,
511,2018-10-10,7432.419921875,
512,2018-10-11,7423.15478515625,
513,2018-10-12,7384.63134765625,
514,2018-10-13,7103.96435546875,
515,2018-10-14,7136.40478515625,
516,2018-10-15,7115.44677734375,
517,2018-10-16,7121.0498046875,
518,2018-10-17,7365.2646484375,
519,2018-10-18,7351.60888671875,
520,2018-10-19,7337.62548828125,
521,2018-10-20,7285.34521484375,
522,2018-10-21,7273.3857421875,
523,2018-10-22,7292.46484375,
524,2018-10-23,7287.62158203125,
525,2018-10-24,7278.1435546875,
526,2018-10-25,7282.875,
527,2018-10-26,7286.578125,
528,2018-10-27,7273.8935546875,
529,2018-10-28,7284.37890625,
530,2018-10-29,7284.3876953125,
531,2018-10-30,7293.26953125,
532,2018-10-31,7167.51025390625,
533,2018-11-01,7170.5634765625,
534,2018-11-02,7142.359375,
535,2018-11-03,7192.1357421875,
536,2018-11-04,7193.71533203125,
537,2018-11-05,7180.50390625,
538,2018-11-06,7179.08740234375,
539,2018-11-07,7234.56689453125,
540,2018-11-08,7261.83935546875,
541,2018-11-09,7310.23681640625,
542,2018-11-10,7248.1474609375,
543,2018-11-11,7209.20849609375,
544,2018-11-12,7226.45849609375,
545,2018-11-13,7221.16845703125,
546,2018-11-14,7191.27978515625,
547,2018-11-15,7172.97314453125,
548,2018-11-16,6664.443359375,
549,2018-11-17,6596.52099609375,
550,2018-11-18,6490.4189453125,
551,2018-11-19,6467.7705078125,
552,2018-11-20,6502.8701171875,
553,2018-11-21,5846.77880859375,
554,2018-11-22,5517.58837890625,
555,2018-11-23,5596.23193359375,
556,2018-11-24,5332.97314453125,
557,2018-11-25,5328.66943359375,
558,2018-11-26,4872.890625,
559,2018-11-27,5014.75732421875,
560,2018-11-28,4731.63232421875,
561,2018-11-29,4805.66552734375,
562,2018-11-30,5179.1708984375,
563,2018-12-01,5177.93798828125,
564,2018-12-02,4966.32861328125,
565,2018-12-03,5141.6103515625,
566,2018-12-04,5068.91796875,
567,2018-12-05,4848.9150390625,
568,2018-12-06,4920.86962890625,
569,2018-12-07,4708.97314453125,
570,2018-12-08,4500.07080078125,
571,2018-12-09,4406.419921875,
572,2018-12-10,4440.1630859375,
573,2018-12-11,4554.41357421875,
574,2018-12-12,4436.57958984375,
575,2018-12-13,4379.69873046875,
576,2018-12-14,4436.45556640625,
577,2018-12-15,4261.01806640625,
578,2018-12-16,4211.134765625,
579,2018-12-17,4191.359375,
580,2018-12-18,4202.71533203125,
581,2018-12-19,4473.017578125,
582,2018-12-20,4604.876953125,
583,2018-12-21,4651.3154296875,
584,2018-12-22,5024.43994140625,
585,2018-12-23,4793.85595703125,
586,2018-12-24,4957.89697265625,
587,2018-12-25,4914.52783203125,
588,2018-12-26,5009.67529296875,
589,2018-12-27,4760.685546875,
590,2018-12-28,4818.06982421875,
591,2018-12-29,4607.0009765625,
592,2018-12-30,4883.09033203125,
593,2018-12-31,4743.42822265625,
594,2019-01-01,4814.85400390625,
595,2019-01-02,4686.73974609375,
596,2019-01-03,4797.2880859375,
597,2019-01-04,4854.48779296875,
598,2019-01-05,4768.41552734375,
599,2019-01-06,4796.69921875,
600,2019-01-07,4774.7275390625,
601,2019-01-08,5001.80126953125,
602,2019-01-09,4939.69580078125,
603,2019-01-10,4966.23681640625,
604,2019-01-11,4963.96728515625,
605,2019-01-12,4636.2451171875,
606,2019-01-13,4668.14404296875,
607,2019-01-14,4611.611328125,
608,2019-01-15,4519.671875,
609,2019-01-16,4653.46875,
610,2019-01-17,4567.115234375,
611,2019-01-18,4600.9111328125,
612,2019-01-19,4615.02734375,
613,2019-01-20,4593.3095703125,
614,2019-01-21,4663.46142578125,
615,2019-01-22,4540.49951171875,
616,2019-01-23,4530.80078125,
617,2019-01-24,4549.7900390625,
618,2019-01-25,4527.52099609375,
619,2019-01-26,4550.41162109375,
620,2019-01-27,4539.3017578125,
621,2019-01-28,4546.4638671875,
622,2019-01-29,4525.79052734375,
623,2019-01-30,4419.37060546875,
624,2019-01-31,4401.03271484375,
625,2019-02-01,4432.00732421875,
626,2019-02-02,4403.3291015625,
627,2019-02-03,4428.6259765625,
628,2019-02-04,4453.55078125,
629,2019-02-05,4407.73193359375,
630,2019-02-06,4401.20751953125,
631,2019-02-07,4411.48681640625,
632,2019-02-08,4358.978515625,
633,2019-02-09,4349.95361328125,
634,2019-02-10,4600.029296875,
635,2019-02-11,4583.275390625,
636,2019-02-12,4626.0234375,
637,2019-02-13,4574.9072265625,
638,2019-02-14,4595.5634765625,
639,2019-02-15,4570.337890625,
640,2019-02-16,4561.32470703125,
641,2019-02-17,4557.75537109375,
642,2019-02-18,4574.16064453125,
643,2019-02-19,4608.00537109375,
644,2019-02-20,4830.25830078125,
645,2019-02-21,4851.5263671875,
646,2019-02-22,4919.689453125,
647,2019-02-23,4876.484375,
648,2019-02-24,4931.6572265625,
649,2019-02-25,5061.12939453125,
650,2019-02-26,4748.72412109375,
651,2019-02-27,4845.5234375,
652,2019-02-28,4794.76611328125,
653,2019-03-01,4796.9072265625,
654,2019-03-02,4794.70361328125,
655,2019-03-03,4796.07666015625,
656,2019-03-04,4801.6279296875,
657,2019-03-05,4785.185546875,
658,2019-03-06,4707.4970703125,
659,2019-03-07,4837.8857421875,
660,2019-03-08,4828.7099609375,
661,2019-03-09,4848.72998046875,
662,2019-03-10,4829.64697265625,
663,2019-03-11,4899.95751953125,
664,2019-03-12,4883.21337890625,
665,2019-03-13,4844.58447265625,
666,2019-03-14,4854.638671875,
667,2019-03-15,4844.59033203125,
668,2019-03-16,4865.26904296875,
669,2019-03-17,4897.04150390625,
670,2019-03-18,4973.87109375,
671,2019-03-19,4955.9873046875,
672,2019-03-20,4966.95263671875,
673,2019-03-21,5000.99560546875,
674,2019-03-22,5013.1962890625,
675,2019-03-23,4965.14501953125,
676,2019-03-24,4964.31982421875,
677,2019-03-25,4972.291015625,
678,2019-03-26,4961.587890625,
679,2019-03-27,4912.0224609375,
680,2019-03-28,4927.6650390625,
681,2019-03-29,5017.04443359375,
682,2019-03-30,4994.94580078125,
683,2019-03-31,5025.369140625,
684,2019-04-01,5034.6982421875,
685,2019-04-02,5037.8505859375,
686,2019-04-03,5085.9765625,
687,2019-04-04,5733.193359375,
688,2019-04-05,5783.9970703125,
689,2019-04-06,5799.31787109375,
690,2019-04-07,5909.75,
691,2019-04-08,5938.56005859375,
692,2019-04-09,6071.021484375,
693,2019-04-10,6148.87841796875,
694,2019-04-11,6087.3212890625,
695,2019-04-12,6203.9052734375,
696,2019-04-13,5968.95751953125,
697,2019-04-14,6014.619140625,
698,2019-04-15,5997.37841796875,
699,2019-04-16,6064.392578125,
700,2019-04-17,5970.91748046875,
701,2019-04-18,6127.34326171875,
702,2019-04-19,6125.88427734375,
703,2019-04-20,6181.06787109375,
704,2019-04-21,6184.2373046875,
705,2019-04-22,6218.2705078125,
706,2019-04-23,6198.3125,
707,2019-04-24,6277.6611328125,
708,2019-04-25,6420.20263671875,
709,2019-04-26,6334.3408203125,
710,2019-04-27,6132.3349609375,
711,2019-04-28,6192.3203125,
712,2019-04-29,6165.72705078125,
713,2019-04-30,6182.126953125,
714,2019-05-01,6144.87109375,
715,2019-05-02,6236.07958984375,
716,2019-05-03,6273.02685546875,
717,2019-05-04,6368.150390625,
718,2019-05-05,6591.46875,
719,2019-05-06,6646.5029296875,
720,2019-05-07,6635.22900390625,
721,2019-05-08,6605.17724609375,
722,2019-05-09,6695.48974609375,
723,2019-05-10,6802.45703125,
724,2019-05-11,6968.83984375,
725,2019-05-12,7142.517578125,
726,2019-05-13,7814.4052734375,
727,2019-05-14,7640.20654296875,
728,2019-05-15,8361.3037109375,
729,2019-05-16,8477.60546875,
730,2019-05-17,8728.7353515625,
731,2019-05-18,8512.3173828125,
732,2019-05-19,8119.5302734375,
733,2019-05-20,8044.03955078125,
734,2019-05-21,8678.53125,
735,2019-05-22,8537.0830078125,
736,2019-05-23,8599.736328125,
737,2019-05-24,8360.7802734375,
738,2019-05-25,8524.66015625,
739,2019-05-26,8591.5888671875,
740,2019-05-27,8663.0498046875,
741,2019-05-28,9079.525390625,
742,2019-05-29,9324.66796875,
743,2019-05-30,9338.94140625,
744,2019-05-31,9263.177734375,
745,2019-06-01,8933.7275390625,
746,2019-06-02,9111.427734375,
747,2019-06-03,9171.8671875,
748,2019-06-04,9336.234375,
749,2019-06-05,8874.857421875,
750,2019-06-06,8407.166015625,
751,2019-06-07,8484.0673828125,
752,2019-06-08,8473.4365234375,
753,2019-06-09,8645.4013671875,
754,2019-06-10,8578.705078125,
755,2019-06-11,8389.95703125,
756,2019-06-12,8617.1796875,
757,2019-06-13,8548.955078125,
758,2019-06-14,8741.5166015625,
759,2019-06-15,8817.08984375,
760,2019-06-16,9184.5458984375,
761,2019-06-17,9386.02734375,
762,2019-06-18,9538.046875,
763,2019-06-19,9740.9150390625,
764,2019-06-20,9619.9296875,
765,2019-06-21,9727.7275390625,
766,2019-06-22,9886.4765625,
767,2019-06-23,10190.00390625,
768,2019-06-24,10569.0927734375,
769,2019-06-25,10816.3369140625,
770,2019-06-26,11018.9765625,
771,2019-06-27,11518.0126953125,
772,2019-06-28,12349.4052734375,
773,2019-06-29,11244.404296875,
774,2019-06-30,11738.7041015625,
775,2019-07-01,11683.603515625,
776,2019-07-02,11235.8662109375,
777,2019-07-03,10988.6318359375,
778,2019-07-04,11023.958984375,
779,2019-07-05,11647.267578125,
780,2019-07-06,11354.83203125,
781,2019-07-07,11288.6669921875,
782,2019-07-08,11347.9013671875,
783,2019-07-09,11480.5263671875,
784,2019-07-10,11982.9736328125,
785,2019-07-11,12265.8388671875,
786,2019-07-12,12170.9482421875,
787,2019-07-13,11703.4638671875,
788,2019-07-14,11825.6044921875,
789,2019-07-15,11574.5830078125,
790,2019-07-16,10663.6962890625,
791,2019-07-17,10679.8603515625,
792,2019-07-18,9910.1318359375,
793,2019-07-19,9978.1201171875,
794,2019-07-20,10399.0732421875,
795,2019-07-21,10547.1484375,
796,2019-07-22,10817.7548828125,
797,2019-07-23,10800.427734375,
798,2019-07-24,10697.38671875,
799,2019-07-25,10327.2158203125,
800,2019-07-26,10216.1650390625,
801,2019-07-27,10238.775390625,
802,2019-07-28,10238.2587890625,
803,2019-07-29,10012.462890625,
804,2019-07-30,10000.6201171875,
805,2019-07-31,9995.5517578125,
806,2019-08-01,10042.375,
807,2019-08-02,10229.4599609375,
808,2019-08-03,10457.6474609375,
809,2019-08-04,10621.2001953125,
810,2019-08-05,10856.1806640625,
811,2019-08-06,11007.783203125,
812,2019-08-07,11541.109375,
813,2019-08-08,11492.9765625,
814,2019-08-09,11843.0966796875,
815,2019-08-10,11891.2587890625,
816,2019-08-11,11917.453125,
817,2019-08-12,11630.2392578125,
818,2019-08-13,11674.17578125,
819,2019-08-14,11562.9345703125,
820,2019-08-15,11264.900390625,
821,2019-08-16,10455.451171875,
822,2019-08-17,10376.43359375,
823,2019-08-18,10447.220703125,
824,2019-08-19,10487.7021484375,
825,2019-08-20,10580.0009765625,
826,2019-08-21,10901.59765625,
827,2019-08-22,10909.2099609375,
828,2019-08-23,10553.0615234375,
829,2019-08-24,10450.3232421875,
